title,link,qualified
IT PROGRAMMER,https://www.jobstreet.co.id/id/job/it-programmer-3831886?jobId=jobstreet-id-job-3831886&sectionRank=418&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Pendidikan Min. D3', 'Menguasai bahasa pemograman C# dan Php', 'Menguasai RDBMS\xa0', 'Mengerti konsep MVC', 'Pernah menggunakan framework .NET, Laravel dsb.', 'Pernah menggunakan reporting tools', 'Mampu bekerja dengan deadline', 'Mampu bekerjasama dengan team']"
Back End Developer,https://www.jobstreet.co.id/id/job/back-end-developer-3844072?jobId=jobstreet-id-job-3844072&sectionRank=419&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['Build solid, secure, performant and scalable APIs to serve our front-end platforms.', 'Optimize existing codes to improve performance and efficiency.', 'Collaborate with Product, QA and UI team to deliver features and improvements.', 'Implement best practices in security and data protection.', 'Design and implement efficient & scalable database.']"
Staff IT,https://www.jobstreet.co.id/id/job/staff-it-3846323?jobId=jobstreet-id-job-3846323&sectionRank=420&token=0~b5c1fe8f-84ae-4a7d-97db-2ced6379ad5b&fr=SRP%20Job%20Listing,"['PC troubleshooting', 'Network troubleshooting', 'Maintain / develop application with PHP', 'Maintain database, backup/restore to cloud storage', 'Debug/Hotfix and troubleshooting']"
Product Manager,https://www.jobstreet.co.id/id/job/product-manager-3843964?jobId=jobstreet-id-job-3843964&sectionRank=421&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Bachelor degree / master degree in information systems, software engineering', 'Minimum 2 year experience as product manager, or 4 year as system analyst / business analyst', 'Have passion in product development & innovation', 'Strong empathy about our users', 'Superior problem solving skills', 'Able to communicate with cross-functional teams', 'Having experience in software functional & technical design', 'Having knowledge in design pattern and object oriented concept', 'Proactive and can work under minimum supervision']"
Technical Writer,https://www.jobstreet.co.id/id/job/technical-writer-3842518?jobId=jobstreet-id-job-3842518&sectionRank=422&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Pendidikan formal minimal D3 dibidang Komputer dan Teknologi', 'Memiliki pengalaman kerja 1 tahun sebagai technical writer.', 'Memiliki kemampuan administrasi yang baik dan terampil', 'Memiliki kemampuan menggunakan Microsoft Office (word, excel, powerpoint)', 'Memiliki kemampuan dan pengetahuan umum mengenai Teknologi Informasi baik sistem maupun aplikasi. \xa0', 'Mampu dan memiliki kemauan untuk belajar Teknologi Informasi dengan cepat']"
IT Staff,https://www.jobstreet.co.id/id/job/it-staff-3841210?jobId=jobstreet-id-job-3841210&sectionRank=423&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['BPJS Kesehatan & BPJS Ketenagakerjaan', 'Fasilitas Olahraga & Makan Siang', '5 Hari Kerja (Senin - Jumat)']"
Programming Coding Engineer (ASP.Net),https://www.jobstreet.co.id/id/job/programming-coding-engineer-asp.net-3833702?jobId=jobstreet-id-job-3833702&sectionRank=424&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Minimal Diploma/Bachelor Degree of Informatics Engineering, Computer Science, Information Systems or Informatics Management (Minimal GPA 2.75)', 'Understand and Able to Use ASP.NET Core, JQuery, HTML, CSS', 'Understand and Able to Design Database With SQL Server / MySQL / Oracle', '']"
Growth Specialist,https://www.jobstreet.co.id/id/job/growth-specialist-3841971?jobId=jobstreet-id-job-3841971&sectionRank=425&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Responsible for Growth KPI including; B2B client acquisition, client retention, and transaction |', 'Responsible for overall B2B Client Profit and Loss, including; data gathering, data analysis, and insights', ""Become the Commercial in Charge to process internal administration to support client's demand"", ""Understand the whole current B2B process and potential client, as well as know how to keep up with the latest trends and align with internal stakeholder to optimize the opportunity in order to increase the company's growth"", 'Assist discussions and negotiations with internal and/or external stakeholders in order to review all commercial agreement contracts', 'Assist supply and demand process using historical data analysis and also competitor benchmarking', 'Responsible to create a project management tracker for performance report and analysis purposes, as well as ensure strict adherence to the project, along with ensuring the project visibility to the company leadership associated with the goals']"
Front End Developer,https://www.jobstreet.co.id/id/job/front-end-developer-3844576?jobId=jobstreet-id-job-3844576&sectionRank=426&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Develop innovative software, enhance, and maintain existing software applications', 'Software designing, planning, architectural design, and analysis.', 'Implement, customize, test, document and maintain software applications', 'Deliver projects on-time and to specification with an appropriate level of quality', 'Collaborate with vendors and end-users to gather and define requirements', 'Develop automated functional tests and carry out system documentations']"
Sedayu One Development Staff,https://www.jobstreet.co.id/id/job/sedayu-one-development-staff-3842049?jobId=jobstreet-id-job-3842049&sectionRank=427&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Membuat design dan mengembangkan system aplikasi sedayu one sesuai dengan kebutuhan user/ perusahaan', 'Menyusun spesifikasi teknis dalam pembuatan system aplikasi Sedayu On', 'Membuat source code dan pemograman untuk apllikasi sedayu one', 'Melakukan testing\xa0 dan pengujian terhadap system aplikasi aplikasi sedayu one terrkait dengan system software, prosedur validasi, pemograman dan dokumentasi', 'Melakukan pemeliharan dan\xa0 trobleshooting terhadap ap-likasi sedayu one', 'Mendokumentasikan update terbaru setiap ada pengem-bangan aplikasi sedayu one', 'Membuat manual books / handbooks terkait system aplikasi (design dan code)', 'Menyiapkan data dan dokumen untuk\xa0 laporan proses pengembangan aplikasi sedayu one']"
BACKEND DEVELOPER,https://www.jobstreet.co.id/id/job/backend-developer-3827690?jobId=jobstreet-id-job-3827690&sectionRank=428&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['WFH or WFO', 'Sports']"
Software Engineer (Fullstack Javascript),https://www.jobstreet.co.id/id/job/software-engineer-fullstack-javascript-3843965?jobId=jobstreet-id-job-3843965&sectionRank=429&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"[""Candidate must possess at least Bachelor's Degree in Engineering (Computer/Telecommunication) or equivalent."", '2-5 years of full stack development experience and very good at problem solving, bug fixing, helping team to solve problems.', 'Experience in components at each layer of modern web applications.', 'Experience in JavaScript frameworks (e.g Vue.js & Node.js) is a must.', 'Experience in both front-end and back-end aspects.']"
Network & System Administrator,https://www.jobstreet.co.id/id/job/network-system-administrator-3831717?jobId=jobstreet-id-job-3831717&sectionRank=430&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,['Terletak di area perbukitan yang startegis dengan view kota Semarang serta dekat dengan pusat perbelanjaan.']
Fullstack Developer [Archify],https://www.jobstreet.co.id/id/job/fullstack-developer-%5Barchify%5D-3827313?jobId=jobstreet-id-job-3827313&sectionRank=431&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Developing applications according to internal needs', 'Perform improvements, development, testing, analysis of applications that have been built and will be made development', 'Conduct analysis in the context of making applications and / or databases', 'Experienced in Dynamic Web programming (HTML, CSS, JavaScript)']"
Tech Lead - React.JS,https://www.jobstreet.co.id/id/job/tech-lead-react.js-3827590?jobId=jobstreet-id-job-3827590&sectionRank=432&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Identifies and evaluates new technologies for alignment with technology roadmap and business value; creates plans for integration and update into architecture;', 'Reviews and evaluates designs and project activities for compliance with development guidelines and standards; provides tangible feedback to improve product quality and mitigate failure risk.']"
IT Programmer,https://www.jobstreet.co.id/id/job/it-programmer-3831742?jobId=jobstreet-id-job-3831742&sectionRank=433&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Carry out programming tasks related to the document using document composition software', ""Develop a document composition software and IT teams collaborate with other programmers to create customized solutions according to the client's specifications and requirements""]"
Staff IT,https://www.jobstreet.co.id/id/job/staff-it-3838170?jobId=jobstreet-id-job-3838170&sectionRank=434&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Candidate must possess at least Diploma in any field.', 'Required language(s): HOKKIEN', 'At least 2 Year(s) of working experience in the related field is required for this position.', 'Preferably Staff (non-management & non-supervisor) specialized in IT/Computer - Network/System/Database Admin or equivalent.', 'Memiliki sertifikat vaksin Covid 19 (sertifikat 1 & 2)', 'Mempunyai keahlian di bidang IT Maintenance & Development']"
IT Staff,https://www.jobstreet.co.id/id/job/it-staff-3841077?jobId=jobstreet-id-job-3841077&sectionRank=435&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"[""Min. Bachelor's Degree\xa0in Information Technology or other related disciplines."", 'At least 2 of working experience in handling operational technology features and best practices', 'Having a great communication skill (Preferably in English conversation)', '(TOEFL IBT >= 90 or TOEFL PBT >=580)', 'Strong organizational skills GPA >=3.2', 'Preferable Skills: Communication, Critical Thinking, Problem Solving, Time & Priority Management, Conflict Resolution', 'Willing to work in Kembangan, West Jakarta']"
FRONTEND DEVELOPER UNIT HEAD,https://www.jobstreet.co.id/id/job/frontend-developer-unit-head-3827302?jobId=jobstreet-id-job-3827302&sectionRank=436&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Create, integrate and manage database', 'Develop functional and appealing web applications-based usability', 'Provide website maintenance and enhancements', 'Create cascading style sheets (CSS) that are consistent across all browsers and platforms', 'Stay up to date on emerging technologies', 'Assist back-end developers in coding and troubleshooting', 'Troubleshoot and debug application', 'Develop, design, and maintain portals that are used by internal customers and external customers.', 'Prepare system solution on root cause as preventive action', 'Create all necessary program documentations', 'Prepares progress reports for all work performed', 'Research new technologies and tools']"
ERP Application Consultant,https://www.jobstreet.co.id/id/job/erp-application-consultant-3826533?jobId=jobstreet-id-job-3826533&sectionRank=437&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Jenjang karir', 'Good Environment']"
QUALITY ASSURANCE OR SOFTWARE TESTER (AUTOMATION),https://www.jobstreet.co.id/id/job/quality-assurance-or-software-tester-automation-3833832?jobId=jobstreet-id-job-3833832&sectionRank=438&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Minimum education: Diploma (D3) or Bachelor’s Degree (S1) in Computer Science', 'Minimum 3 years experience as Quality Assurance (full automation)', 'Usually make automation script', 'Having excellent SQL, programming skills, automation testing (selenium, katalon)', 'Have a good knowledge application development basic, algoritma, strong logical thinking, willingness to coding and SDLC', 'Have a good logical skills', 'Not in college or part time']"
IT PROGRAMMER,https://www.jobstreet.co.id/id/job/it-programmer-3830444?jobId=jobstreet-id-job-3830444&sectionRank=439&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Usia 25-32 tahun', 'Pendidikan min. D3/S1 Sistem Informasi/Manajemen Informatika/IT', 'Pengalaman dibidang yang sama minimal 3 tahun', 'Paham mengenai database MYSQL', 'Menguasai bahasa program ASP.Net atau C#, Laravel, Vue.JS, Spring Boot (Kotlin), Linux', 'Berpengalaman membuat system / aplikasi Web Based menjadi nilai tambah', 'Memiliki komitmen dan motivasi kerja yang tinggi', 'Sanggup bekerja keras, teliti dan bertanggung jawab', 'Jujur dan dapat bekerja dalam team']"
Data Scientist,https://www.jobstreet.co.id/id/job/data-scientist-3845131?jobId=jobstreet-id-job-3845131&sectionRank=440&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Friendly, Creative & Dynamic Working Environment', 'Professional Learning & Development opportunities', 'Benefits beyond salary']"
Game Developer (Unity),https://www.jobstreet.co.id/id/job/game-developer-unity-3827159?jobId=jobstreet-id-job-3827159&sectionRank=441&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Key Performance Compensation With Progressive Salary', 'Health Insurance', 'Skill Challenges & Trainings']"
IT Programmer,https://www.jobstreet.co.id/id/job/it-programmer-3845254?jobId=jobstreet-id-job-3845254&sectionRank=442&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Menguasai React JS', 'Menguasai PHP', 'Menguasai Javascript', 'Menguasai Jquery', 'Menguasai DB Mysql']"
IT Programmer (Jakarta),https://www.jobstreet.co.id/id/job/it-programmer-jakarta-3841675?jobId=jobstreet-id-job-3841675&sectionRank=443&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Menguasai bahasa pemograman PHP dan Python', 'Menguasai penggunaan Mysql dan SQL Server']"
Engineering Manager,https://www.jobstreet.co.id/id/job/engineering-manager-3844731?jobId=jobstreet-id-job-3844731&sectionRank=444&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Lead and manage our team of engineers to all business function', 'Performs a variety of tasks. Leads and directs the work of others', 'Excellent command of GoLang, Nodejs, Microservices or other programming languages', 'Manage, growing and empowering software engineering teams to accomplish applicable project goals and ensuring the best practice along with company standard', 'Solving problems through coding', 'Develop microservice REST API']"
Desktop Engineer,https://www.jobstreet.co.id/id/job/desktop-engineer-3843066?jobId=jobstreet-id-job-3843066&sectionRank=445&token=0~5f3f3977-d55b-45f7-9b5d-d489fee58c4a&fr=SRP%20Job%20Listing,"['Bachelor’s degree in Computer Science or Information Technology', 'Proven work experience as Desktop Support Engineer or Support Technician', 'Microsoft office\xa0product support\xa0', 'Apple operating\xa0System', 'Android\xa0and Apple OS\xa0', 'Advanced knowledge of computer hardware systems, chipsets, memory modules, and peripherals', 'Knowledge of popular operating systems, software applications, and remote connection systems', 'Ability to solve complex hardware and software issues', 'Ability to travel and work after hours when necessary', 'Excellent interpersonal skills', 'Good written and verbal communication skills']"
